feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU09+AU12,combo_2,unweighted,795,0.7396983050847458,1.536046511627907,0.8264705882352941,0.562,0.6690476190476191
AU12+AU25,combo_2,unweighted,795,0.7359728813559321,2.0964835164835165,0.8064516129032258,0.6,0.6880733944954128
AU06+AU25,combo_2,unweighted,795,0.7273355932203389,1.9541052631578948,0.8378378378378378,0.496,0.6231155778894473
AU06+AU12,combo_2,unweighted,795,0.7233016949152542,2.127272727272727,0.7600896860986547,0.678,0.7167019027484145
AU12+AU23,combo_2,unweighted,795,0.7058881355932203,1.4875757575757576,0.7697674418604651,0.662,0.7118279569892473
AU06+AU09,combo_2,unweighted,795,0.7004813559322035,1.1045098039215686,0.7835616438356164,0.572,0.661271676300578
AU05+AU12,combo_2,unweighted,795,0.6980440677966102,1.2593617021276597,0.7579617834394905,0.714,0.7353244078269825
AU12+AU20,combo_2,unweighted,795,0.6965932203389831,1.4271794871794874,0.7572383073496659,0.68,0.7165437302423604
AU09+AU25,combo_2,unweighted,795,0.6959661016949154,0.8551282051282052,0.7769230769230769,0.606,0.6808988764044944
AU23+AU25,combo_2,unweighted,795,0.6870271186440677,0.8147692307692307,0.7505197505197505,0.722,0.7359836901121305
AU06+AU23,combo_2,unweighted,795,0.677457627118644,1.2306329113924055,0.7727272727272727,0.544,0.6384976525821596
AU05+AU06,combo_2,unweighted,795,0.6770508474576271,0.91,0.7379310344827587,0.642,0.6866310160427808
AU12+AU15,combo_2,unweighted,795,0.6716813559322035,1.3070103092783503,0.7281746031746031,0.734,0.7310756972111554
AU12+AU14,combo_2,unweighted,795,0.6673288135593219,1.854961240310078,0.7292576419213974,0.668,0.697286012526096
AU07+AU12,combo_2,unweighted,795,0.666586440677966,1.5676119402985074,0.7135135135135136,0.792,0.7507109004739337
AU06+AU20,combo_2,unweighted,795,0.6656169491525424,1.127741935483871,0.7573333333333333,0.568,0.6491428571428571
AU02+AU12,combo_2,unweighted,795,0.6645254237288136,1.2647747747747746,0.7363083164300203,0.726,0.7311178247734139
AU05+AU25,combo_2,unweighted,795,0.6619627118644067,0.7119101123595506,0.7483588621444202,0.684,0.7147335423197493
AU20+AU25,combo_2,unweighted,795,0.6615661016949153,0.8284615384615385,0.7399103139013453,0.66,0.6976744186046512
AU12+AU45,combo_2,unweighted,795,0.6609932203389831,1.375,0.7254098360655737,0.708,0.7165991902834007
AU14+AU25,combo_2,unweighted,795,0.6596610169491526,1.4838709677419355,0.7464114832535885,0.624,0.6797385620915033
AU06+AU14,combo_2,unweighted,795,0.6581084745762712,1.5897163120567375,0.7388392857142857,0.662,0.6983122362869199
AU02+AU06,combo_2,unweighted,795,0.6534644067796611,0.9598611111111112,0.7244444444444444,0.652,0.6863157894736842
AU06+AU45,combo_2,unweighted,795,0.6490779661016948,1.0392528735632183,0.7286995515695067,0.65,0.6871035940803383
AU07+AU25,combo_2,unweighted,795,0.6476813559322034,1.1187096774193548,0.7080979284369114,0.752,0.7293889427740058
AU06+AU15,combo_2,unweighted,795,0.6420813559322034,1.009512195121951,0.7168949771689498,0.628,0.6695095948827292
AU02+AU25,combo_2,unweighted,795,0.6416033898305086,0.6573015873015875,0.7153846153846154,0.744,0.7294117647058823
