intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.0,0.0,0.0,287990,596308.3260000001,3779,72.05153865399049,34.0,8.0,105.0,563,149.18897322992248,45.86900000000053,978,294.4683026584867,129.0,609.7222147239264
1.0,0.0,0.3,287990,596308.3260000001,3779,72.05153865399049,34.0,8.0,105.0,563,149.18897322992248,45.86900000000053,978,294.4683026584867,129.0,609.7222147239264
1.0,0.0,0.5,287985,596305.8260000001,3779,72.05028771578684,34.0,8.0,105.0,563,149.18834776082065,45.86900000000053,978,294.4631901840491,129.0,609.7196584867075
1.0,0.0,1.0,167352,512251.87899999996,3582,41.86940205153866,17.0,3.0,58.0,365,128.15908906680008,32.26499999999955,978,171.11656441717793,68.0,523.774927402863
1.0,0.0,1.5,110831,443991.495,3340,27.728546409807354,9.0,1.0,36.0,249,111.08118463847886,23.19999999999999,978,113.3241308793456,39.0,453.9790337423313
1.0,0.0,2.0,79083,389661.929,3112,19.78558919189392,5.0,1.0,24.0,199,97.48859869902427,17.133000000000067,978,80.86196319018404,24.0,398.4273302658487
1.0,0.25,0.0,266855,599671.7609999999,3779,66.76382286715037,33.0,8.0,99.0,494,150.03046309732298,45.93700000000091,978,272.85787321063395,124.5,613.161309815951
1.0,0.25,0.3,266855,599671.7609999999,3779,66.76382286715037,33.0,8.0,99.0,494,150.03046309732298,45.93700000000091,978,272.85787321063395,124.5,613.161309815951
1.0,0.25,0.5,266850,599669.2609999999,3779,66.76257192894671,33.0,8.0,99.0,494,150.02983762822114,45.93700000000091,978,272.85276073619633,124.5,613.1587535787322
1.0,0.25,1.0,158842,524537.814,3588,39.74030522892169,17.0,3.0,57.0,339,131.23287815861897,33.23400000000021,978,162.41513292433538,67.0,536.3372331288343
1.0,0.25,1.5,108560,463777.161,3356,27.16037027770828,9.0,2.0,37.0,252,116.03131373530148,24.4670000000001,978,111.00204498977506,41.0,474.2097760736196
1.0,0.25,2.0,79531,414075.544,3133,19.897673254941207,6.0,1.0,25.0,190,103.59658343757818,18.699999999999818,978,81.3200408997955,26.0,423.3901267893661
1.0,0.5,0.0,232963,612457.859,3779,58.28446334751063,30.0,8.0,88.0,371,153.22938679009258,46.76800000000014,978,238.2034764826176,117.0,626.2350296523518
1.0,0.5,0.3,232963,612457.859,3779,58.28446334751063,30.0,8.0,88.0,371,153.22938679009258,46.76800000000014,978,238.2034764826176,117.0,626.2350296523518
1.0,0.5,0.5,232958,612455.359,3779,58.283212409306984,30.0,8.0,88.0,371,153.22876132099077,46.76800000000014,978,238.19836400817996,117.0,626.232473415133
1.0,0.5,1.0,143938,550674.832,3592,36.0115086314736,16.0,3.0,53.0,286,137.77203702777084,35.29999999999979,978,147.1758691206544,65.0,563.062200408998
1.0,0.5,1.5,103949,502388.748,3388,26.006755066299725,9.0,2.0,37.0,216,125.69145559169378,27.397000000000133,978,106.28732106339469,42.0,513.6899263803682
1.0,0.5,2.0,79592,460629.603,3195,19.91293470102577,6.0,1.0,27.0,175,115.24383362521891,21.83400000000006,978,81.38241308793457,28.0,470.99141411042945
1.0,1.0,0.0,194672,640857.895,3779,48.70452839629722,28.0,7.0,76.0,269,160.3347247935952,48.330000000000226,978,199.05112474437627,105.0,655.2739212678937
1.0,1.0,0.3,194672,640857.895,3779,48.70452839629722,28.0,7.0,76.0,269,160.3347247935952,48.330000000000226,978,199.05112474437627,105.0,655.2739212678937
1.0,1.0,0.5,194669,640856.395,3779,48.70377783337503,28.0,7.0,76.0,269,160.3343495121341,48.330000000000226,978,199.04805725971372,105.0,655.2723875255624
1.0,1.0,1.0,125534,593014.4950000001,3596,31.407055291468602,15.0,3.0,48.0,225,148.36489742306733,38.53399999999988,978,128.35787321063395,61.5,606.3542893660533
1.0,1.0,1.5,95986,557402.767,3416,24.014510883162373,10.0,2.0,37.0,188,139.4552832124093,31.532000000000075,978,98.14519427402863,43.5,569.9414795501023
1.0,1.0,2.0,78042,526563.025,3254,19.52514385789342,7.0,1.0,29.0,163,131.73956092069054,26.700000000000124,978,79.79754601226993,31.0,538.4080010224948
1.0,2.0,0.0,153100,701532.127,3779,38.30372779584688,24.0,7.0,62.0,176,175.51466775081312,51.93700000000088,978,156.5439672801636,92.5,717.3130132924335
1.0,2.0,0.3,153100,701532.127,3779,38.30372779584688,24.0,7.0,62.0,176,175.51466775081312,51.93700000000088,978,156.5439672801636,92.5,717.3130132924335
1.0,2.0,0.5,153098,701531.127,3779,38.30322742056543,24.0,7.0,62.0,176,175.51441756317237,51.93700000000088,978,156.54192229038856,92.5,717.311990797546
1.0,2.0,1.0,103242,667191.5700000001,3604,25.829872404303227,15.0,3.0,43.0,134,166.92308481361022,43.83400000000029,978,105.56441717791411,57.0,682.1999693251535
1.0,2.0,1.5,83230,643110.4440000001,3447,20.823117338003502,10.0,2.0,34.0,122,160.8982847135352,38.49899999999997,978,85.10224948875256,43.0,657.5771411042945
1.0,2.0,2.0,71512,622977.179,3310,17.891418563922944,8.0,1.0,28.0,115,155.86119064298225,34.56900000000023,978,73.12065439672801,34.0,636.9909805725971
1.0,3.0,0.0,130003,758787.277,3779,32.52514385789342,22.0,6.0,53.0,140,189.83919864898675,55.46800000000053,978,132.92740286298567,84.0,775.8561114519428
1.0,3.0,0.3,130003,758787.277,3779,32.52514385789342,22.0,6.0,53.0,140,189.83919864898675,55.46800000000053,978,132.92740286298567,84.0,775.8561114519428
1.0,3.0,0.5,130001,758786.277,3779,32.52464348261196,22.0,6.0,53.0,140,189.838948461346,55.46800000000053,978,132.92535787321063,84.0,775.8550889570553
1.0,3.0,1.0,90038,731301.414,3608,22.526394796097073,14.0,3.0,38.0,110,182.96257543157367,48.76600000000053,978,92.06339468302659,53.0,747.7519570552147
1.0,3.0,1.5,74409,712509.8130000001,3462,18.61621215911934,10.0,2.0,31.0,97,178.2611491118339,44.400999999999726,978,76.08282208588957,41.0,728.5376411042946
1.0,3.0,2.0,65565,697312.079,3346,16.403552664498374,8.0,1.0,27.0,93,174.45886389792344,40.66599999999987,978,67.0398773006135,34.0,712.9980357873211
1.2,0.0,0.0,171221,466687.118,3683,42.83737803352514,19.0,5.0,60.0,477,116.75934901175883,31.233999999999696,978,175.07259713701433,75.0,477.1851922290389
1.2,0.0,0.3,171221,466687.118,3683,42.83737803352514,19.0,5.0,60.0,477,116.75934901175883,31.233999999999696,978,175.07259713701433,75.0,477.1851922290389
1.2,0.0,0.5,171220,466686.618,3683,42.83712784588441,19.0,5.0,60.0,477,116.75922391793846,31.233999999999696,978,175.0715746421268,75.0,477.18468098159514
1.2,0.0,1.0,121054,430781.406,3465,30.286214660995746,11.0,2.0,41.0,333,107.7761836377283,24.236999999999966,978,123.77709611451942,47.5,440.47178527607366
1.2,0.0,1.5,88844,391600.929,3245,22.2276707530648,7.0,1.0,28.0,243,97.9737125344008,19.299000000000007,978,90.84253578732107,32.0,400.40994785276075
1.2,0.0,2.0,67615,355164.34,3024,16.916437327995997,4.0,1.0,20.0,196,88.85772829622218,14.934000000000026,978,69.1359918200409,21.0,363.15372188139054
1.2,0.25,0.0,161187,468300.068,3683,40.32699524643483,19.0,5.0,57.0,424,117.16288916687516,31.266000000000147,978,164.81288343558282,73.5,478.8344253578733
1.2,0.25,0.3,161187,468300.068,3683,40.32699524643483,19.0,5.0,57.0,424,117.16288916687516,31.266000000000147,978,164.81288343558282,73.5,478.8344253578733
1.2,0.25,0.5,161186,468299.568,3683,40.326745058794096,19.0,5.0,57.0,424,117.1627640730548,31.266000000000147,978,164.81186094069528,73.5,478.83391411042953
1.2,0.25,1.0,114659,435062.177,3468,28.686264698523892,11.0,2.0,39.0,311,108.84717963472605,24.732999999999976,978,117.23824130879346,46.0,444.8488517382413
1.2,0.25,1.5,85283,399342.404,3253,21.336752564423318,7.0,1.0,28.0,236,99.91053390042532,19.634000000000242,978,87.20143149284253,31.0,408.3255664621677
1.2,0.25,2.0,65867,366018.872,3034,16.479109331999,5.0,1.0,20.0,184,91.57339804853639,15.400999999999954,978,67.34867075664621,21.0,374.25242535787316
1.2,0.5,0.0,144848,474433.0580000001,3683,36.2391793845384,18.0,4.0,54.0,327,118.69728746559922,31.569000000000223,978,148.10633946830265,70.0,485.1053762781187
