video_id,interviewer_angle_x,interviewer_angle_y,n_frames,stdev_x,stdev_y,method
10.1,-0.130000,0.120000,1023,0.028006,0.055788,per_video
10.2,-0.132000,0.031000,1071,0.021450,0.054784,per_video
10.3,-0.133000,0.058000,1957,0.042205,0.058107,per_video
10.4,-0.120000,0.035000,1465,0.034209,0.055149,per_video
10.5,-0.134000,0.059500,694,0.190750,0.095132,per_video
10010.1,0.211000,0.226000,2601,0.085437,0.049991,per_video
10098.7,0.120500,0.065000,3768,0.062025,0.043371,per_video
10119.1,0.113000,0.111000,4809,0.154229,0.049418,per_video
10119.2,0.076000,0.097000,4470,0.054280,0.043104,per_video
10119.3,0.120000,0.082000,3204,0.085400,0.054703,per_video
10119.4,0.184000,0.054000,2842,0.068911,0.041948,per_video
10162.1,0.146000,0.169000,3515,0.059771,0.055730,per_video
10162.2,0.130000,0.170000,4441,0.064993,0.062408,per_video
10162.3,0.103000,0.165000,1224,0.060315,0.039750,per_video
10162.4,0.159000,0.155000,1273,0.038870,0.042019,per_video
10162.5,0.108500,0.152000,1782,0.047645,0.032262,per_video
10181.1,0.086000,0.154000,1863,0.019060,0.029292,per_video
10181.2,0.038000,0.132000,2213,0.019105,0.045475,per_video
10181.3,0.040000,0.139000,1184,0.021284,0.029243,per_video
10181.4,0.063000,0.146000,1463,0.018363,0.051959,per_video
10181.5,0.053000,0.142000,252,0.042046,0.024470,per_video
1020.1,0.076000,0.111000,2401,0.053412,0.062495,per_video
1020.2,0.148000,0.177000,3160,0.091154,0.044108,per_video
1020.3,0.134000,0.170000,2695,0.107493,0.051034,per_video
10252.1,0.264000,0.107000,11411,0.085291,0.055907,per_video
10272.1,0.129000,0.015000,1615,0.085731,0.131883,per_video
10272.2,0.216000,0.037000,1896,0.107838,0.061308,per_video
10272.3,0.256000,0.020000,3394,0.112416,0.068910,per_video
10272.4,0.287000,0.064000,869,0.080160,0.073250,per_video
10272.5,-0.050000,0.102500,610,0.155990,0.120293,per_video
10272.6,0.249000,0.057000,371,0.143219,0.107373,per_video
10283.1,0.165000,0.087000,3221,0.139685,0.043722,per_video
10283.2,0.181000,0.102000,1375,0.044068,0.058924,per_video
10283.3,0.241000,0.112000,665,0.071458,0.093660,per_video
10283.4,0.152000,0.088000,505,0.096615,0.044215,per_video
1029.1,0.072000,-0.049000,2543,0.128384,0.087434,per_video
1029.2,0.010000,-0.001000,1595,0.108785,0.089287,per_video
1029.3,0.051000,0.033000,813,0.055214,0.082392,per_video
1033.1,0.132000,0.190000,1988,0.038791,0.086468,per_video
1033.2,0.170000,0.176000,1227,0.081598,0.033151,per_video
1033.3,0.177000,0.171000,2463,0.047384,0.037060,per_video
10335.1,-0.045000,0.047000,11609,0.137400,0.082514,per_video
10335.2,-0.062000,0.034000,9063,0.136041,0.070848,per_video
10353.1,0.202000,0.084000,2317,0.075702,0.078548,per_video
10353.2,0.108000,0.117000,1107,0.076533,0.073211,per_video
10353.3,0.276000,0.164500,214,0.072144,0.079408,per_video
10353.4,-0.005000,0.158500,198,0.028961,0.027832,per_video
10353.5,0.120000,0.133500,882,0.081157,0.038509,per_video
10358.1,0.397000,0.248000,5308,0.106001,0.079320,per_video
10358.2,0.313000,0.209000,3334,0.105622,0.072198,per_video
10358.3,0.276500,0.191000,4096,0.133638,0.059267,per_video
10359.1,0.178000,0.300000,2864,0.056146,0.045893,per_video
10394.1,0.281000,0.170000,4664,0.088125,0.066242,per_video
10394.2,0.255000,0.213000,1682,0.098951,0.055612,per_video
10394.3,0.341000,0.229000,2213,0.121278,0.061723,per_video
10394.4,0.340000,0.221000,2277,0.098704,0.068922,per_video
10397.1,0.357000,0.119000,5420,0.154191,0.035343,per_video
10397.2,0.324000,0.089000,2373,0.024342,0.034362,per_video
10397.3,0.296000,0.088000,1173,0.056319,0.044688,per_video
10397.4,0.280000,0.053000,829,0.078362,0.069631,per_video
10397.5,0.266000,0.057000,2355,0.050474,0.066126,per_video
10406.1,-0.012000,0.261000,3887,0.110828,0.087406,per_video
10406.2,0.036000,0.257000,2943,0.067368,0.047397,per_video
10406.3,0.025000,0.256000,1532,0.056124,0.058300,per_video
10406.4,-0.004000,0.265000,863,0.063496,0.059691,per_video
10406.5,0.091000,0.272000,1497,0.046203,0.052832,per_video
1042.1,0.003000,-0.046000,2272,0.070365,0.049890,per_video
1042.2,0.084000,0.005000,477,0.038760,0.046263,per_video
1042.3,0.056000,-0.038500,202,0.038360,0.050875,per_video
10446.1,-0.145000,0.265000,3511,0.112747,0.027762,per_video
10446.2,-0.144000,0.265000,2228,0.067416,0.025083,per_video
10446.3,-0.135000,0.208000,1745,0.043940,0.028246,per_video
10478.1,0.191000,-0.009000,13224,0.119548,0.064017,per_video
10478.2,0.192000,-0.020000,10373,0.025047,0.041773,per_video
10478.3,0.173000,-0.013000,7251,0.035904,0.043588,per_video
10496.1,0.210000,0.080000,6377,0.032137,0.024367,per_video
10496.2,0.176000,0.047000,7423,0.059924,0.033376,per_video
10496.3,0.146000,0.069000,10978,0.041800,0.028994,per_video
10549.1,0.031000,0.259000,3847,0.129220,0.054724,per_video
10549.2,0.066000,0.302000,1028,0.047456,0.044328,per_video
10549.3,0.137000,0.273000,1913,0.076909,0.033772,per_video
10549.4,0.115000,0.297000,2488,0.044288,0.048226,per_video
10564.1,0.078000,0.214000,3053,0.045471,0.065340,per_video
10564.2,0.050000,0.256000,12761,0.071028,0.068959,per_video
10564.3,0.082000,0.274000,1001,0.071509,0.064019,per_video
10572.1,-0.353000,0.106000,1393,0.222988,0.062433,per_video
10572.2,-0.372000,0.095500,1028,0.024607,0.052230,per_video
10572.3,-0.339000,0.088000,504,0.091039,0.091649,per_video
10572.4,-0.206000,0.100500,592,0.131014,0.074395,per_video
10572.5,-0.337000,0.100000,1212,0.109983,0.044400,per_video
10572.6,-0.234000,0.133500,686,0.197846,0.097380,per_video
10572.7,-0.211000,0.051000,422,0.157838,0.097501,per_video
10587.1,0.269000,0.090000,4973,0.209444,0.083361,per_video
10587.2,0.155000,0.106000,7933,0.071490,0.056160,per_video
10587.3,0.287000,0.075000,4981,0.081055,0.057112,per_video
10587.4,0.246000,0.083000,1719,0.098022,0.073488,per_video
10587.5,0.159000,0.133000,2898,0.068257,0.049172,per_video
10587.6,0.174000,0.125000,2395,0.082432,0.058641,per_video
