feature,group,auc_raw,auc_abs,direction,n_valid,n_total,coverage_pct
au_zscore_AU06_r,AU z-score,0.8089,0.8089,+,1153,1153,100.0
au_zscore_AU12_r,AU z-score,0.7897,0.7897,+,1153,1153,100.0
au_during_AU12_r,AU during,0.7555,0.7555,+,1153,1153,100.0
au_delta_before_AU06_r,AU Δ (vs before),0.7537,0.7537,+,1153,1153,100.0
au_zscore_AU10_r,AU z-score,0.7427,0.7427,+,1153,1153,100.0
au_delta_before_AU12_r,AU Δ (vs before),0.7396,0.7396,+,1153,1153,100.0
au_zscore_AU07_r,AU z-score,0.7308,0.7308,+,1153,1153,100.0
au_delta_after_AU06_r,AU Δ (vs after),0.7276,0.7276,+,1153,1153,100.0
au_delta_after_AU12_r,AU Δ (vs after),0.7264,0.7264,+,1153,1153,100.0
au_zscore_AU25_r,AU z-score,0.7033,0.7033,+,1153,1153,100.0
au_during_AU25_r,AU during,0.7001,0.7001,+,1153,1153,100.0
au_during_AU06_r,AU during,0.6996,0.6996,+,1153,1153,100.0
au_delta_before_AU10_r,AU Δ (vs before),0.685,0.685,+,1153,1153,100.0
au_zscore_AU14_r,AU z-score,0.6833,0.6833,+,1153,1153,100.0
au_delta_before_AU07_r,AU Δ (vs before),0.6754,0.6754,+,1153,1153,100.0
au_zscore_AU09_r,AU z-score,0.6735,0.6735,+,1153,1153,100.0
au_during_AU09_r,AU during,0.6719,0.6719,+,1153,1153,100.0
au_delta_after_AU25_r,AU Δ (vs after),0.6689,0.6689,+,1153,1153,100.0
audio_during_arousal,Audio VAD,0.6665,0.6665,+,856,1153,74.2
au_delta_before_AU25_r,AU Δ (vs before),0.662,0.662,+,1153,1153,100.0
audio_during_valence,Audio VAD,0.6501,0.6501,+,856,1153,74.2
au_delta_after_AU10_r,AU Δ (vs after),0.645,0.645,+,1153,1153,100.0
au_delta_before_AU14_r,AU Δ (vs before),0.6439,0.6439,+,1153,1153,100.0
au_delta_after_AU07_r,AU Δ (vs after),0.6375,0.6375,+,1153,1153,100.0
audio_after10s_arousal,Audio VAD,0.6325,0.6325,+,989,1153,85.8
audio_before10s_arousal,Audio VAD,0.625,0.625,+,972,1153,84.3
audio_during_dominance,Audio VAD,0.6214,0.6214,+,856,1153,74.2
au_during_AU17_r,AU during,0.3826,0.6174,−,1153,1153,100.0
au_during_AU07_r,AU during,0.6166,0.6166,+,1153,1153,100.0
audio_before10s_valence,Audio VAD,0.6118,0.6118,+,972,1153,84.3
audio_after10s_valence,Audio VAD,0.6086,0.6086,+,989,1153,85.8
au_delta_after_AU14_r,AU Δ (vs after),0.6066,0.6066,+,1153,1153,100.0
au_zscore_AU01_r,AU z-score,0.3938,0.6062,−,1153,1153,100.0
au_zscore_AU17_r,AU z-score,0.3941,0.6059,−,1153,1153,100.0
au_during_AU01_r,AU during,0.3996,0.6004,−,1153,1153,100.0
au_after10s_AU09_r,AU after 10s,0.5997,0.5997,+,1153,1153,100.0
au_delta_before_AU01_r,AU Δ (vs before),0.4027,0.5973,−,1153,1153,100.0
au_during_AU14_r,AU during,0.5965,0.5965,+,1153,1153,100.0
au_during_AU23_r,AU during,0.5953,0.5953,+,1153,1153,100.0
au_zscore_AU15_r,AU z-score,0.4063,0.5937,−,1153,1153,100.0
au_zscore_AU23_r,AU z-score,0.5937,0.5937,+,1153,1153,100.0
audio_delta_before_arousal,Audio Δ,0.5929,0.5929,+,823,1153,71.4
audio_after10s_dominance,Audio VAD,0.5927,0.5927,+,989,1153,85.8
audio_before10s_dominance,Audio VAD,0.5911,0.5911,+,972,1153,84.3
au_after10s_AU26_r,AU after 10s,0.4109,0.5891,−,1153,1153,100.0
au_during_AU15_r,AU during,0.4141,0.5859,−,1153,1153,100.0
au_delta_before_AU15_r,AU Δ (vs before),0.4142,0.5858,−,1153,1153,100.0
au_before10s_AU09_r,AU before 10s,0.583,0.583,+,1153,1153,100.0
au_after10s_AU01_r,AU after 10s,0.4219,0.5781,−,1153,1153,100.0
au_delta_after_AU01_r,AU Δ (vs after),0.4224,0.5776,−,1153,1153,100.0
audio_delta_after_arousal,Audio Δ,0.5775,0.5775,+,836,1153,72.5
au_delta_before_AU09_r,AU Δ (vs before),0.576,0.576,+,1153,1153,100.0
audio_delta_after_valence,Audio Δ,0.5709,0.5709,+,836,1153,72.5
au_delta_before_AU17_r,AU Δ (vs before),0.4306,0.5694,−,1153,1153,100.0
au_delta_after_AU09_r,AU Δ (vs after),0.5689,0.5689,+,1153,1153,100.0
au_during_AU26_r,AU during,0.4316,0.5684,−,1153,1153,100.0
au_delta_before_AU23_r,AU Δ (vs before),0.5673,0.5673,+,1153,1153,100.0
au_delta_after_AU23_r,AU Δ (vs after),0.5671,0.5671,+,1153,1153,100.0
au_delta_after_AU15_r,AU Δ (vs after),0.4334,0.5666,−,1153,1153,100.0
gaze_delta_after_valence,Gaze Δ,0.5654,0.5654,+,904,1153,78.4
gaze_delta_before_dominance,Gaze Δ,0.5647,0.5647,+,901,1153,78.1
au_before10s_AU17_r,AU before 10s,0.4363,0.5637,−,1153,1153,100.0
audio_delta_before_valence,Audio Δ,0.5632,0.5632,+,823,1153,71.4
gaze_delta_after_dominance,Gaze Δ,0.5624,0.5624,+,904,1153,78.4
au_after10s_AU17_r,AU after 10s,0.4392,0.5608,−,1153,1153,100.0
au_before10s_AU10_r,AU before 10s,0.4402,0.5598,−,1153,1153,100.0
audio_delta_after_dominance,Audio Δ,0.5586,0.5586,+,836,1153,72.5
audio_before10s_coverage,Audio coverage,0.4419,0.5581,−,1153,1153,100.0
au_delta_after_AU17_r,AU Δ (vs after),0.4428,0.5572,−,1153,1153,100.0
au_zscore_AU26_r,AU z-score,0.4445,0.5555,−,1153,1153,100.0
au_after10s_AU05_r,AU after 10s,0.4475,0.5525,−,1153,1153,100.0
au_during_AU10_r,AU during,0.5504,0.5504,+,1153,1153,100.0
au_after10s_AU10_r,AU after 10s,0.4525,0.5475,−,1153,1153,100.0
au_before10s_AU25_r,AU before 10s,0.5453,0.5453,+,1153,1153,100.0
gaze_delta_before_valence,Gaze Δ,0.545,0.545,+,901,1153,78.1
au_after10s_AU25_r,AU after 10s,0.5448,0.5448,+,1153,1153,100.0
au_after10s_AU06_r,AU after 10s,0.5447,0.5447,+,1153,1153,100.0
au_after10s_AU15_r,AU after 10s,0.4558,0.5442,−,1153,1153,100.0
au_after10s_AU02_r,AU after 10s,0.457,0.543,−,1153,1153,100.0
au_after10s_AU04_r,AU after 10s,0.4575,0.5425,−,1153,1153,100.0
au_delta_after_AU45_r,AU Δ (vs after),0.4575,0.5425,−,1153,1153,100.0
au_before10s_AU26_r,AU before 10s,0.4577,0.5423,−,1153,1153,100.0
gaze_during_arousal,Gaze VAD,0.542,0.542,+,904,1153,78.4
au_before10s_AU01_r,AU before 10s,0.4582,0.5418,−,1153,1153,100.0
audio_delta_before_dominance,Audio Δ,0.5404,0.5404,+,823,1153,71.4
au_delta_before_AU05_r,AU Δ (vs before),0.4601,0.5399,−,1153,1153,100.0
gaze_delta_before_arousal,Gaze Δ,0.5378,0.5378,+,901,1153,78.1
au_during_AU05_r,AU during,0.4636,0.5364,−,1153,1153,100.0
au_after10s_AU12_r,AU after 10s,0.5357,0.5357,+,1153,1153,100.0
au_delta_before_AU45_r,AU Δ (vs before),0.4644,0.5356,−,1153,1153,100.0
au_after10s_AU07_r,AU after 10s,0.5349,0.5349,+,1153,1153,100.0
gaze_during_valence,Gaze VAD,0.5349,0.5349,+,904,1153,78.4
gaze_during_dominance,Gaze VAD,0.5348,0.5348,+,904,1153,78.4
au_delta_before_AU26_r,AU Δ (vs before),0.4673,0.5327,−,1153,1153,100.0
au_delta_before_AU04_r,AU Δ (vs before),0.4675,0.5325,−,1153,1153,100.0
au_delta_before_AU02_r,AU Δ (vs before),0.468,0.532,−,1153,1153,100.0
au_zscore_AU02_r,AU z-score,0.4682,0.5318,−,1153,1153,100.0
gaze_delta_after_arousal,Gaze Δ,0.5316,0.5316,+,904,1153,78.4
au_during_AU04_r,AU during,0.4686,0.5314,−,1153,1153,100.0
au_before10s_AU05_r,AU before 10s,0.4693,0.5307,−,1153,1153,100.0
kw_total,Keywords,0.4697,0.5303,−,1153,1153,100.0
au_zscore_AU05_r,AU z-score,0.4704,0.5296,−,1153,1153,100.0
kw_valence_ratio,Keywords,0.527,0.527,+,536,1153,46.5
au_during_AU02_r,AU during,0.4736,0.5264,−,1153,1153,100.0
au_zscore_AU45_r,AU z-score,0.476,0.524,−,1153,1153,100.0
au_before10s_AU04_r,AU before 10s,0.4771,0.5229,−,1153,1153,100.0
au_zscore_AU20_r,AU z-score,0.5218,0.5218,+,1153,1153,100.0
au_during_AU45_r,AU during,0.4783,0.5217,−,1153,1153,100.0
kw_neutral,Keywords,0.4783,0.5217,−,1153,1153,100.0
audio_during_coverage,Audio coverage,0.4784,0.5216,−,1153,1153,100.0
au_before10s_AU14_r,AU before 10s,0.4788,0.5212,−,1153,1153,100.0
au_after10s_AU14_r,AU after 10s,0.5202,0.5202,+,1153,1153,100.0
au_delta_after_AU20_r,AU Δ (vs after),0.4799,0.5201,−,1153,1153,100.0
kw_negative,Keywords,0.4801,0.5199,−,1153,1153,100.0
gaze_before10s_dominance,Gaze VAD,0.4809,0.5191,−,1146,1153,99.4
au_during_AU20_r,AU during,0.5183,0.5183,+,1153,1153,100.0
au_before10s_AU06_r,AU before 10s,0.5182,0.5182,+,1153,1153,100.0
au_before10s_AU07_r,AU before 10s,0.5165,0.5165,+,1153,1153,100.0
gaze_after10s_dominance,Gaze VAD,0.4844,0.5156,−,1153,1153,100.0
au_before10s_AU20_r,AU before 10s,0.4855,0.5145,−,1153,1153,100.0
au_zscore_AU04_r,AU z-score,0.4878,0.5122,−,1153,1153,100.0
gaze_before10s_arousal,Gaze VAD,0.5118,0.5118,+,1146,1153,99.4
au_delta_after_AU05_r,AU Δ (vs after),0.489,0.511,−,1153,1153,100.0
au_before10s_AU12_r,AU before 10s,0.4893,0.5107,−,1153,1153,100.0
au_after10s_AU45_r,AU after 10s,0.5105,0.5105,+,1153,1153,100.0
au_before10s_AU02_r,AU before 10s,0.4907,0.5093,−,1153,1153,100.0
audio_after10s_coverage,Audio coverage,0.4928,0.5072,−,1153,1153,100.0
au_delta_after_AU26_r,AU Δ (vs after),0.4938,0.5062,−,1153,1153,100.0
kw_positive,Keywords,0.4939,0.5061,−,1153,1153,100.0
gaze_before10s_valence,Gaze VAD,0.494,0.506,−,1146,1153,99.4
gaze_after10s_valence,Gaze VAD,0.4943,0.5057,−,1153,1153,100.0
gaze_after10s_arousal,Gaze VAD,0.5057,0.5057,+,1153,1153,100.0
au_after10s_AU23_r,AU after 10s,0.4944,0.5056,−,1153,1153,100.0
au_delta_after_AU04_r,AU Δ (vs after),0.4952,0.5048,−,1153,1153,100.0
au_delta_after_AU02_r,AU Δ (vs after),0.4963,0.5037,−,1153,1153,100.0
au_before10s_AU15_r,AU before 10s,0.4976,0.5024,−,1153,1153,100.0
au_before10s_AU23_r,AU before 10s,0.5018,0.5018,+,1153,1153,100.0
au_delta_before_AU20_r,AU Δ (vs before),0.5017,0.5017,+,1153,1153,100.0
