config,n_features,n_valid,auc,auc_std,f1,f1_std,precision,precision_std,recall,recall_std,best_C
A: AU12 only none,1,1242,0.7597,0.0626,0.7811,0.005,0.6409,0.0067,1.0,0.0,0.001
A: AU12 only +audio,13,859,0.7977,0.0628,0.8141,0.0395,0.7735,0.063,0.8635,0.047,0.3
A: AU12 only +gaze,14,957,0.7631,0.066,0.8329,0.0269,0.7591,0.0252,0.9249,0.0529,0.03
A: AU12 only +audio+gaze,26,665,0.801,0.0922,0.8427,0.0341,0.7903,0.0487,0.9048,0.037,0.1
B: 17-AU (current) none,17,1242,0.8067,0.0373,0.8104,0.0241,0.7617,0.0308,0.8682,0.0458,0.01
B: 17-AU (current) +audio,29,859,0.8518,0.0452,0.8326,0.0297,0.7957,0.0476,0.8779,0.057,0.03
B: 17-AU (current) +gaze,30,957,0.8211,0.0516,0.8467,0.0309,0.7876,0.0342,0.9174,0.0507,0.01
B: 17-AU (current) +audio+gaze,42,665,0.8655,0.0568,0.8672,0.0293,0.8128,0.0448,0.9323,0.0425,0.03
C: z-scores + deltas none,9,1242,0.822,0.052,0.8248,0.037,0.7998,0.039,0.8531,0.0515,0.3
C: z-scores + deltas +audio,21,859,0.861,0.0416,0.8412,0.0349,0.819,0.0575,0.8669,0.0302,0.1
C: z-scores + deltas +gaze,22,957,0.8342,0.0719,0.8555,0.0345,0.8129,0.0415,0.9057,0.0555,0.03
C: z-scores + deltas +audio+gaze,34,665,0.8642,0.0585,0.863,0.0408,0.8232,0.0524,0.9093,0.0481,0.03
D: C + keywords none,12,586,0.8536,0.0829,0.8295,0.0574,0.8147,0.0743,0.8513,0.0771,0.1
D: C + keywords +audio,24,431,0.8587,0.0871,0.8267,0.0706,0.7874,0.0838,0.8794,0.0964,0.1
D: C + keywords +gaze,25,452,0.8414,0.0822,0.8436,0.0618,0.8232,0.0884,0.8752,0.0881,0.03
D: C + keywords +audio+gaze,37,329,0.8612,0.0608,0.8311,0.0407,0.7527,0.0559,0.9367,0.0817,0.003
E: full feature set none,30,586,0.8566,0.0771,0.815,0.0573,0.8103,0.0617,0.8269,0.0897,0.1
E: full feature set +audio,42,431,0.8519,0.0952,0.8314,0.0708,0.7831,0.0852,0.8973,0.1036,0.03
E: full feature set +gaze,43,452,0.8486,0.0811,0.8314,0.0607,0.8089,0.0753,0.8648,0.0968,0.03
E: full feature set +audio+gaze,55,329,0.8665,0.0694,0.8222,0.0373,0.7459,0.0681,0.928,0.0783,0.001
