start_ms,end_ms,label
4562,5790,interviewer_speaking
5790,6680,pause_question
6680,9510,interviewer_speaking
9510,11390,pause_question
11390,12220,interviewer_speaking
12220,13260,pause_question
13260,15680,interviewer_speaking
15680,18020,pause_question
18020,20690,interviewer_speaking
20690,22430,pause_question
22430,23900,interviewer_speaking
23900,24510,pause_question
24510,29120,interviewee_speaking
29120,30040,pause_narrative
30040,30900,interviewee_speaking
30900,32530,pause_narrative
32530,34120,interviewee_speaking
34120,35120,pause_narrative
35120,37180,interviewee_speaking
37180,38070,pause_narrative
38070,40341,interviewee_speaking
40341,43210,pause_narrative
43210,47650,interviewee_speaking
47650,49710,pause_narrative
49710,51960,interviewee_speaking
51960,52520,pause_narrative
52520,53020,interviewee_speaking
53020,54070,pause_narrative
54070,58490,interviewee_speaking
58490,60790,pause_narrative
60790,67910,interviewee_speaking
67910,68430,pause_narrative
68430,71100,interviewee_speaking
71100,72570,pause_narrative
72570,73430,interviewee_speaking
73430,73990,pause_narrative
73990,77695,interviewee_speaking
77695,78350,pause_narrative
78350,83750,interviewee_speaking
83750,84720,pause_narrative
84720,88540,interviewee_speaking
88540,89470,pause_narrative
89470,90770,interviewee_speaking
90770,91330,pause_narrative
91330,91830,interviewee_speaking
91830,92400,pause_narrative
92400,94280,interviewee_speaking
94280,96090,pause_narrative
96090,100990,interviewee_speaking
100990,103000,pause_narrative
103000,106140,interviewee_speaking
106140,107040,pause_narrative
107040,116830,interviewee_speaking
116830,117804,pause_answered
117804,118400,interviewer_speaking
118400,120020,interviewee_speaking
120020,121130,pause_narrative
121130,121870,interviewee_speaking
121870,122640,pause_narrative
122640,123140,interviewee_speaking
123140,123680,pause_answered
123680,124480,interviewer_speaking
124480,125275,pause_question
125275,126640,interviewee_speaking
126640,127406,pause_answered
127406,127906,interviewer_speaking
127906,129600,pause_question
129600,130560,interviewer_speaking
130560,131085,pause_question
131085,131585,interviewee_speaking
131585,138140,pause_narrative
138140,139660,interviewee_speaking
139660,140420,pause_narrative
140420,141810,interviewee_speaking
141810,142380,pause_narrative
142380,145770,interviewee_speaking
145770,146310,pause_narrative
146310,147340,interviewee_speaking
147340,149740,pause_narrative
149740,152490,interviewee_speaking
152490,153110,pause_narrative
153110,163070,interviewee_speaking
163070,165130,pause_narrative
165130,167370,interviewee_speaking
167370,168260,pause_narrative
168260,173410,interviewee_speaking
173410,174340,pause_narrative
174340,177090,interviewee_speaking
177090,178840,pause_narrative
178840,181910,interviewee_speaking
181910,182470,pause_narrative
182470,185430,interviewee_speaking
185430,186140,pause_narrative
186140,191135,interviewee_speaking
191135,191940,pause_narrative
191940,194590,interviewee_speaking
194590,195630,pause_narrative
195630,196995,interviewee_speaking
196995,198266,interviewer_speaking
198266,201730,interviewee_speaking
201730,202720,pause_narrative
202720,208470,interviewee_speaking
208470,209390,pause_narrative
209390,212710,interviewee_speaking
212710,213470,pause_narrative
213470,214660,interviewee_speaking
214660,216110,pause_narrative
216110,218250,interviewee_speaking
218250,218780,pause_narrative
218780,222260,interviewee_speaking
222260,223700,pause_narrative
223700,225380,interviewee_speaking
225380,226980,pause_narrative
226980,229660,interviewee_speaking
229660,230800,pause_narrative
230800,231610,interviewee_speaking
231610,233230,pause_narrative
233230,241030,interviewee_speaking
241030,241970,pause_narrative
241970,243250,interviewee_speaking
243250,243820,pause_narrative
243820,245470,interviewee_speaking
245470,246270,pause_narrative
246270,248110,interviewee_speaking
248110,248660,pause_narrative
248660,256340,interviewee_speaking
256340,257899,pause_narrative
257899,269030,interviewee_speaking
269030,270830,pause_narrative
270830,272640,interviewee_speaking
272640,273180,pause_narrative
273180,274160,interviewee_speaking
274160,275400,pause_narrative
275400,283570,interviewee_speaking
283570,284390,pause_narrative
284390,287825,interviewee_speaking
287825,288487,pause_answered
288487,290790,interviewer_speaking
290790,291955,pause_question
291955,292580,interviewee_speaking
292580,294180,pause_narrative
294180,297160,interviewee_speaking
297160,298460,pause_narrative
298460,306690,interviewee_speaking
306690,307370,pause_narrative
307370,309670,interviewee_speaking
309670,310320,pause_narrative
310320,310820,interviewee_speaking
310820,311370,pause_narrative
311370,318520,interviewee_speaking
318520,319200,pause_narrative
319200,319770,interviewee_speaking
319770,321840,pause_narrative
321840,329290,interviewee_speaking
329290,329860,pause_narrative
329860,335680,interviewee_speaking
335680,336860,pause_narrative
336860,342470,interviewee_speaking
342470,343240,pause_narrative
343240,350365,interviewee_speaking
350365,351110,pause_narrative
351110,354130,interviewee_speaking
354130,355140,pause_narrative
355140,359730,interviewee_speaking
359730,361190,pause_narrative
361190,380510,interviewee_speaking
380510,381490,pause_narrative
