video_id,n_frames,duration_s,AU01_r_mean,AU01_r_std,AU02_r_mean,AU02_r_std,AU04_r_mean,AU04_r_std,AU05_r_mean,AU05_r_std,AU06_r_mean,AU06_r_std,AU07_r_mean,AU07_r_std,AU09_r_mean,AU09_r_std,AU10_r_mean,AU10_r_std,AU12_r_mean,AU12_r_std,AU14_r_mean,AU14_r_std,AU15_r_mean,AU15_r_std,AU17_r_mean,AU17_r_std,AU20_r_mean,AU20_r_std,AU23_r_mean,AU23_r_std,AU25_r_mean,AU25_r_std,AU26_r_mean,AU26_r_std,AU45_r_mean,AU45_r_std
10.1,56888,1898.1,0.134035,0.213937,0.087505,0.204511,0.791927,0.343504,0.050461,0.132902,0.163513,0.229615,0.025321,0.099936,0.042899,0.089686,1.10986,0.566299,0.701227,0.417229,0.408421,0.412932,0.156575,0.248402,0.695252,0.639482,0.108542,0.199398,0.085564,0.162767,0.428106,0.463732,0.497337,0.52012,0.104634,0.17521
10.2,58458,1950.5,0.120826,0.195278,0.088109,0.203928,0.808164,0.364754,0.045714,0.11624,0.221509,0.278343,0.030132,0.163308,0.048769,0.109073,1.104418,0.611074,0.732083,0.440698,0.301925,0.363399,0.154272,0.253444,0.801625,0.764727,0.101218,0.18985,0.083273,0.165706,0.472159,0.525284,0.540149,0.598385,0.112183,0.195277
10.3,56120,1872.5,0.152292,0.236124,0.110205,0.262419,0.928205,0.383762,0.057288,0.146426,0.243723,0.299593,0.010385,0.068027,0.052932,0.112452,1.201679,0.593123,0.7373,0.417082,0.259162,0.343924,0.169502,0.280544,0.854336,0.730547,0.112641,0.201701,0.104412,0.226273,0.496752,0.524286,0.57509,0.595503,0.110754,0.185012
10.4,56168,1874.1,0.154196,0.247,0.112808,0.259565,0.866781,0.402208,0.058447,0.151781,0.250451,0.309966,0.011656,0.078128,0.057293,0.124127,1.267791,0.656584,0.789012,0.448323,0.267007,0.36399,0.183368,0.310574,0.878513,0.807427,0.121715,0.223331,0.096976,0.187568,0.514595,0.54677,0.583158,0.631635,0.117051,0.198641
10.5,57201,1908.6,0.172758,0.299619,0.108158,0.258812,0.878219,0.439645,0.056231,0.147252,0.332203,0.375786,0.034646,0.191354,0.058241,0.13622,1.30107,0.70428,0.842408,0.48136,0.291247,0.412789,0.169731,0.273852,0.784344,0.716478,0.117635,0.214335,0.107106,0.22,0.47323,0.514024,0.574921,0.630087,0.115631,0.208791
10010.1,53308,1778.7,0.205232,0.346516,0.217901,0.505824,0.523871,0.511827,0.084485,0.234728,0.23766,0.351107,0.168293,0.31327,0.090966,0.189332,0.40292,0.427106,0.620043,0.514873,0.304887,0.403744,0.123317,0.196782,0.408187,0.3896,0.107791,0.199488,0.09921,0.206515,0.455258,0.480476,0.491801,0.515565,0.143187,0.238288
10010.2,53692,1791.5,0.198177,0.307914,0.169093,0.384344,0.415797,0.40321,0.084235,0.215462,0.250634,0.302459,0.361627,0.439514,0.099422,0.206307,0.333371,0.37189,0.561456,0.451573,0.291351,0.393876,0.139344,0.211003,0.441439,0.411247,0.110635,0.201514,0.100175,0.201706,0.424981,0.44104,0.527269,0.529367,0.15084,0.245043
10010.3,54028,1802.7,0.214421,0.348587,0.198106,0.500871,0.379828,0.42124,0.06162,0.151108,0.169881,0.251559,0.293593,0.386175,0.069712,0.138608,0.318683,0.387803,0.672023,0.42675,0.167767,0.31945,0.112059,0.16245,0.447224,0.376773,0.143576,0.260741,0.096556,0.186276,0.459792,0.484054,0.543201,0.583588,0.150934,0.24511
10010.4,53668,1790.7,0.206734,0.343974,0.189157,0.4848,0.580353,0.455051,0.071928,0.181713,0.24934,0.33671,0.134153,0.248558,0.074095,0.148262,0.489371,0.476256,0.68603,0.504733,0.301206,0.432869,0.115864,0.168826,0.46257,0.40121,0.140271,0.256568,0.108295,0.220888,0.498367,0.521145,0.526972,0.567732,0.151806,0.247428
10012.1,52586,1754.6,0.144855,0.232552,0.077294,0.175126,0.004898,0.043063,0.057148,0.157232,0.001266,0.021274,0.020644,0.106204,0.087725,0.20072,0.12967,0.196653,0.032144,0.148483,0.502614,0.413592,0.175612,0.285547,0.440571,0.429349,0.091469,0.168562,0.124713,0.244196,0.490156,0.517147,0.419553,0.43123,0.215683,0.365809
10012.2,52946,1766.6,0.175328,0.28336,0.091519,0.202334,0.006654,0.059511,0.071247,0.228224,0.001272,0.020603,0.02827,0.129851,0.120584,0.253253,0.174213,0.24559,0.060742,0.185628,0.454113,0.441393,0.204735,0.323591,0.586865,0.561173,0.099723,0.179415,0.118665,0.240445,0.497841,0.501162,0.486468,0.486172,0.224989,0.373074
10012.3,51833,1729.5,0.210463,0.323421,0.111051,0.249066,0.036866,0.186544,0.083739,0.245132,0.010056,0.081118,0.087378,0.25976,0.144622,0.30082,0.269825,0.324553,0.101274,0.248409,0.456393,0.444893,0.229033,0.37217,0.70248,0.67874,0.114691,0.209654,0.173301,0.340289,0.556632,0.562001,0.565011,0.578064,0.218996,0.364216
10012.4,51260,1710.3,0.205729,0.323249,0.097144,0.21983,0.016574,0.111254,0.077443,0.216546,0.004653,0.054494,0.057369,0.210618,0.132483,0.27629,0.241103,0.300708,0.077568,0.225538,0.475199,0.439909,0.216917,0.352362,0.675086,0.663385,0.10734,0.19801,0.158718,0.314587,0.524854,0.533561,0.517847,0.526271,0.234626,0.390196
10030.2,42870,1714.8,0.259959,0.453943,0.130937,0.317406,0.008136,0.052053,0.044875,0.119847,1.307692,0.499081,1.77605,0.741474,0.092385,0.199613,0.455385,0.514755,1.729991,0.671836,0.135091,0.262346,0.151976,0.241043,0.487755,0.438954,0.103841,0.190928,0.103182,0.222855,0.433492,0.419776,0.477641,0.513143,0.19405,0.319347
10030.3,44242,1769.6,0.326155,0.589458,0.16368,0.389234,0.007831,0.056802,0.045266,0.118953,1.30721,0.500561,1.772895,0.812629,0.087082,0.184114,0.492282,0.522914,1.765489,0.63953,0.127406,0.262426,0.157365,0.253024,0.487409,0.444665,0.110109,0.208196,0.118744,0.244345,0.426225,0.408684,0.472671,0.505801,0.20128,0.334676
